ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TAXI_DIST	TRANSIT_COST	FREE_COST	av1	av2	av3	av4	HYPERP
45	1	32.0	47.06751005	75.9333333333	0.0	0	0	32.0	12.46944444	7.75	0	1	1	1	0	0.894935737102
46	1	25.0	47.06751005	75.9333333333	1.0	0	0	25.0	12.46944444	7.75	0	1	1	1	0	0.771940642343
47	1	50.0	63.6171793	72.1833333333	0.0	1	0	50.0	18.6724157	7.75	0	1	1	1	0	2.51843032156
48	1	38.7	63.6171793	72.1833333333	1.0	1	0	38.7	18.6724157	7.75	0	1	1	1	0	1.66850709706
49	1	30.0	44.50614743	60.3	0.0	0	0	30.0	11.64418803	7.75	0	1	1	1	0	1.21307417261
50	1	38.0	44.50614743	60.3	0.0	0	1	38.0	11.64418803	7.75	0	1	1	1	0	1.64825773229
51	1	30.0	37.59233862	50.5333333333	0.0	0	0	30.0	10.24322581	7.75	0	1	1	1	0	1.45336064708
52	1	38.7	63.26119903	72.5833333333	1.0	1	0	38.7	17.40059967	7.75	0	1	1	1	0	1.63830395563
53	1	60.0	33.01023753	71.2833333333	0.0	1	0	60.0	9.123333333	7.75	0	1	1	1	0	2.23872119911
54	1	20.0	63.71749056	52.9833333333	0.0	0	0	20.0	16.194	7.75	0	1	1	1	0	1.69684155311
55	1	12.0	63.71749056	52.9833333333	0.0	0	1	12.0	16.194	7.75	0	1	1	1	0	1.36561587377
56	1	38.7	40.04845634	67.3166666667	1.0	0	1	38.7	10.47	7.75	0	1	1	1	0	1.1286589286
57	1	35.0	67.64752939	68.6166666667	0.0	0	0	35.0	18.99695869	7.75	0	1	1	1	0	1.78178074536
58	1	60.0	67.64752939	68.6166666667	0.0	1	0	60.0	18.99695869	7.75	0	1	1	1	0	6.95135737602
59	1	30.0	68.89495726	78.7	0.0	0	1	30.0	20.94357143	7.75	0	1	1	1	0	1.25554327023
60	1	45.0	68.28222352	69.7666666667	0.0	0	0	45.0	18.85839015	7.75	0	1	1	1	0	2.4441005459
61	1	20.0	52.88347112	43.8666666667	0.0	0	1	20.0	11.64636	7.75	0	1	1	1	0	1.8910672257
62	1	60.0	65.82688167	78.9	0.0	0	0	60.0	17.60878025	7.75	0	1	1	1	0	3.07285088201
63	1	40.0	65.82688167	78.9	1.0	1	0	40.0	17.60878025	7.75	0	1	1	1	0	1.49297896324
64	1	90.0	65.14715183	76.1666666667	0.0	0	0	90.0	21.42653999	7.75	0	1	1	1	0	-4.14919169855
65	1	30.0	65.14715183	76.1666666667	1.0	0	0	30.0	21.42653999	7.75	0	1	1	1	0	1.24325960643
66	1	90.0	68.31946108	54.6666666667	0.0	0	1	90.0	17.13209119	7.75	0	1	1	1	0	-1.71423003057
67	1	45.0	68.31946108	54.6666666667	1.0	1	0	45.0	17.13209119	7.75	0	1	1	1	0	6.26580631862
68	1	20.0	29.05064175	38.3166666667	0.0	0	0	20.0	7.331764706	7.75	0	1	1	1	0	1.16291037762
69	1	22.0	29.05064175	38.3166666667	0.0	0	1	22.0	7.331764706	7.75	0	1	1	1	0	1.30545301839
70	1	25.0	60.05021508	76.7166666667	0.0	1	0	25.0	16.73676123	7.75	0	1	1	1	0	1.01128356584
71	1	45.0	60.05021508	76.7166666667	0.0	0	0	45.0	16.73676123	7.75	0	1	1	1	0	1.64898208345
72	1	30.0	60.05021508	76.7166666667	0.0	1	0	30.0	16.73676123	7.75	0	1	1	1	0	1.11951940949
73	1	30.0	60.05021508	76.7166666667	1.0	0	0	30.0	16.73676123	7.75	0	1	1	1	0	1.11951940949
74	1	40.0	60.05021508	76.7166666667	1.0	1	1	40.0	16.73676123	7.75	0	1	1	1	0	1.42442710159
75	1	60.0	60.05021508	76.7166666667	0.0	0	0	60.0	16.73676123	7.75	0	1	1	1	0	3.12862702373
76	1	12.0	55.11776935	70.4166666667	0.0	1	1	12.0	15.35383142	7.75	0	1	1	1	0	0.810860530956
77	1	30.0	72.82606917	70.8166666667	0.0	1	0	30.0	21.43222222	7.75	0	1	1	1	0	1.59435040841
78	1	30.0	72.82606917	70.8166666667	0.0	0	1	30.0	21.43222222	7.75	0	1	1	1	0	1.59435040841
79	1	10.0	14.63331409	51.4833333333	0.0	0	1	10.0	3.243088235	7.75	0	1	1	1	0	0.165929628526
80	1	40.0	52.93533586	71.7833333333	0.0	0	0	40.0	15.5	7.75	0	1	1	1	0	1.42166762014
81	1	30.0	48.72482496	69.8333333333	0.0	0	1	30.0	13.52397059	7.75	0	1	1	1	0	1.02865669356
82	1	38.7	54.92187102	51.0833333333	1.0	0	0	38.7	15.01768362	7.75	0	1	1	1	0	3.80930317793
