ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	av1	av2	av3
211	3	16.15	23.29	38.62	1	1	1
185	2	38.98	67.33	97.08	1	1	1
269	3	32.79	65.5	93.58	1	1	1
63	2	47.49	57.02	60.83	1	1	1
103	2	42.8	56.18	70.38	1	1	1
236	3	33.58	44.47	66.5	1	1	1
344	3	38.74	61.22	70.82	1	1	1
27	3	47.26	53.48	72.18	1	1	1
40	3	45.88	54.77	76.17	1	1	1
396	3	42.8	56.18	70.38	1	1	1
237	3	32.31	39.57	75.93	1	1	1
115	2	37.28	57.74	77.38	1	1	1
51	3	28.68	40.96	69.83	1	1	1
370	1	38.74	61.22	70.82	1	1	1
364	1	38.82	53.9	77.08	1	1	1
304	3	30.5	59.33	90.55	1	1	1
253	3	36.64	57.92	78.7	1	1	1
288	3	20.61	42.56	51.68	1	1	1
176	2	27.48	43.04	59.98	1	1	1
280	3	28.68	40.96	69.83	1	1	1
317	1	47.49	57.02	60.83	1	1	1
147	2	34.47	48.58	78.98	1	1	1
170	2	31.67	45.36	64.22	1	1	1
218	3	37.61	50.66	55.13	1	1	1
295	3	30.5	47.7	52.38	1	1	1
69	2	34.71	46.63	67.52	1	1	1
43	3	17.11	24.42	38.32	1	1	1
365	1	45.64	54.32	70.65	1	1	1
388	3	26.37	36.1	65.53	1	1	1
33	3	37.01	53.56	52.98	1	1	1
216	3	26.37	36.1	65.53	1	1	1
341	3	42.83	57.37	67.88	1	1	1
409	3	25.56	44.46	43.87	1	1	1
93	2	26.37	36.1	65.53	1	1	1
53	3	24.2	33.98	61.23	1	1	1
173	2	31.26	57.55	82.73	1	1	1
371	1	17.05	42.93	39.83	1	1	1
139	2	36.64	57.92	78.7	1	1	1
29	3	28.17	37.41	60.3	1	1	1
405	1	20.37	46.14	54.23	1	1	1
320	1	40.97	55.99	53.68	1	1	1
157	2	32.89	50.44	53.97	1	1	1
89	2	26.37	36.1	65.53	1	1	1
81	2	16.15	23.29	38.62	1	1	1
384	3	26.37	36.1	65.53	1	1	1
161	2	29.15	43.22	55.22	1	1	1
270	3	32.79	65.5	93.58	1	1	1
12	3	26.37	36.1	65.53	1	1	1
50	3	31.18	44.5	71.78	1	1	1
227	3	37.28	57.74	77.38	1	1	1
190	3	35.06	57.6	72.22	1	1	1
217	3	11.39	31.26	35.15	1	1	1
118	2	46.38	57.4	50.02	1	1	1
400	3	39.88	57.58	74.75	1	1	1
105	2	42.8	56.18	70.38	1	1	1
168	2	41.98	57.39	66.68	1	1	1
403	3	33.58	44.47	66.5	1	1	1
189	3	47.88	56.07	58.08	1	1	1
264	3	39.65	57.69	83.62	1	1	1
135	2	32.39	57.27	83.83	1	1	1
150	2	39.65	57.69	83.62	1	1	1
116	2	46.38	57.4	50.02	1	1	1
297	3	27.47	36	71.72	1	1	1
136	2	32.39	57.27	83.83	1	1	1
301	3	12.87	19.88	61.18	1	1	1
120	2	46.38	57.4	50.02	1	1	1
74	2	33.2	57.83	96.25	1	1	1
404	1	23.01	31.6	50.53	1	1	1
186	2	16.87	31.54	39.6	1	1	1
127	2	28.17	37.41	60.3	1	1	1
44	3	39.09	50.48	76.72	1	1	1
245	3	39.78	53.18	72.58	1	1	1
267	3	19.22	32.98	42.43	1	1	1
346	3	14.44	28.35	42.67	1	1	1
294	3	17.89	37.85	43.88	1	1	1
246	3	16.59	27.75	71.28	1	1	1
228	3	46.38	57.4	50.02	1	1	1
68	2	35.34	51.84	55.02	1	1	1
296	3	18.3	37.41	40.57	1	1	1
243	3	49.68	55.74	72.33	1	1	1
95	2	40.97	55.99	53.68	1	1	1
183	2	34.49	46.5	95.38	1	1	1
188	2	29.66	45.75	106.52	1	1	1
224	3	29.35	57.71	96	1	1	1
10	3	45.33	53.72	72.52	1	1	1
337	3	33.2	57.83	96.25	1	1	1
90	2	26.37	36.1	65.53	1	1	1
238	3	32.31	39.57	75.93	1	1	1
315	1	35.06	57.6	72.22	1	1	1
193	3	40.97	55.99	53.68	1	1	1
274	3	15.18	33.46	71.62	1	1	1
65	2	47.49	57.02	60.83	1	1	1
52	3	37.96	57.18	67.43	1	1	1
71	2	40.19	57.31	62.23	1	1	1
142	2	36.83	57.4	69.77	1	1	1
300	3	12.87	19.88	61.18	1	1	1
255	3	34.47	48.58	78.98	1	1	1
285	3	37.2	46.17	51.08	1	1	1
327	1	36.83	57.4	69.77	1	1	1
175	2	27.48	43.04	59.98	1	1	1
94	2	26.37	36.1	65.53	1	1	1
137	2	16.59	27.75	71.28	1	1	1
141	2	36.83	57.4	69.77	1	1	1
204	3	34.49	46.5	95.38	1	1	1
96	2	37.91	57.5	66.83	1	1	1
361	1	28.77	37.44	43.25	1	1	1
293	3	40	58.19	97.23	1	1	1
