ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
0	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	60.0	7.75	0	1	1	1	0
1	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	45.0	7.75	0	1	1	1	0
2	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	25.0	7.75	0	1	1	1	0
3	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	35.0	7.75	0	1	1	1	0
4	1	47.87902275	66.69592392	58.0833333333	1.0	0	1	60.0	7.75	0	1	1	1	0
5	1	47.87902275	66.69592392	58.0833333333	1.0	1	0	45.0	7.75	0	1	1	1	0
6	1	35.0562903167	68.52328677	72.2166666667	0.0	0	0	80.0	7.75	0	1	1	1	0
7	1	35.0562903167	68.52328677	72.2166666667	0.0	1	0	40.0	7.75	0	1	1	1	0
8	1	35.0562903167	68.52328677	72.2166666667	0.0	1	0	35.0	7.75	0	1	1	1	0
9	1	28.7190476167	46.05232605	64.05	0.0	0	0	20.0	7.75	0	1	1	1	0
10	1	47.49112175	67.82537809	60.8333333333	1.0	0	0	38.7	7.75	0	1	1	1	0
11	1	47.49112175	67.82537809	60.8333333333	1.0	1	0	60.0	7.75	0	1	1	1	0
12	1	40.1878643167	68.17891774	62.2333333333	0.0	1	0	30.0	7.75	0	1	1	1	0
13	1	40.1878643167	68.17891774	62.2333333333	0.0	0	0	15.0	7.75	0	1	1	1	0
14	1	48.2056049667	67.06555236	74.5333333333	0.0	0	0	90.0	7.75	0	1	1	1	0
15	1	45.33499255	63.90547715	72.5166666667	0.0	0	0	50.0	7.75	0	1	1	1	0
16	1	45.33499255	63.90547715	72.5166666667	0.0	1	1	40.0	7.75	0	1	1	1	0
17	1	45.33499255	63.90547715	72.5166666667	1.0	0	0	70.0	7.75	0	1	1	1	0
18	1	26.3727565167	42.94517164	65.5333333333	1.0	0	0	120.0	7.75	0	1	1	1	0
19	1	45.2344690667	68.21929938	75.1166666667	1.0	0	0	38.7	7.75	0	1	1	1	0
20	1	45.2344690667	68.21929938	75.1166666667	1.0	0	0	70.0	7.75	0	1	1	1	0
21	1	40.9683836667	66.60847718	53.6833333333	0.0	0	0	75.0	7.75	0	1	1	1	0
22	1	40.9683836667	66.60847718	53.6833333333	1.0	0	0	30.0	7.75	0	1	1	1	0
23	1	40.9683836667	66.60847718	53.6833333333	0.0	0	0	55.0	7.75	0	1	1	1	0
24	1	37.9071900833	68.39660218	66.8333333333	1.0	0	0	55.0	7.75	0	1	1	1	0
25	1	37.9071900833	68.39660218	66.8333333333	1.0	1	0	30.0	7.75	0	1	1	1	0
26	1	49.0843246	64.82919017	71.1166666667	0.0	0	0	60.0	7.75	0	1	1	1	0
27	1	24.5843665833	48.90327895	58.7666666667	0.0	0	0	60.0	7.75	0	1	1	1	0
28	1	37.6085556333	60.25857119	55.1333333333	0.0	1	0	37.0	7.75	0	1	1	1	0
29	1	37.6085556333	60.25857119	55.1333333333	0.0	0	0	55.0	7.75	0	1	1	1	0
30	1	37.6085556333	60.25857119	55.1333333333	1.0	0	0	60.0	7.75	0	1	1	1	0
31	1	37.6085556333	60.25857119	55.1333333333	0.0	0	1	38.7	7.75	0	1	1	1	0
32	1	42.8038599667	66.83415588	70.3833333333	0.0	0	0	30.0	7.75	0	1	1	1	0
33	1	42.8038599667	66.83415588	70.3833333333	1.0	0	1	60.0	7.75	0	1	1	1	0
34	1	42.8038599667	66.83415588	70.3833333333	1.0	1	0	45.0	7.75	0	1	1	1	0
35	1	42.8038599667	66.83415588	70.3833333333	0.0	0	0	38.7	7.75	0	1	1	1	0
36	1	42.8038599667	66.83415588	70.3833333333	1.0	1	0	38.7	7.75	0	1	1	1	0
37	1	33.8378619667	68.44091579	73.0833333333	0.0	0	1	25.0	7.75	0	1	1	1	0
38	1	46.9126850167	68.04205471	65.05	0.0	1	0	60.0	7.75	0	1	1	1	0
39	1	46.9126850167	68.04205471	65.05	1.0	0	1	45.0	7.75	0	1	1	1	0
40	1	39.87602955	68.49460435	74.75	0.0	0	1	60.0	7.75	0	1	1	1	0
41	1	39.87602955	68.49460435	74.75	0.0	0	0	60.0	7.75	0	1	1	1	0
42	1	33.0192214167	52.32345148	64.75	1.0	0	0	30.0	7.75	0	1	1	1	0
43	1	46.3806163833	68.28061554	50.0166666667	0.0	1	0	38.7	7.75	0	1	1	1	0
44	1	33.5847517667	52.9011677	66.5	1.0	1	0	45.0	7.75	0	1	1	1	0
45	1	32.3137566167	47.06751005	75.9333333333	0.0	0	0	32.0	7.75	0	1	1	1	0
46	1	32.3137566167	47.06751005	75.9333333333	1.0	0	0	25.0	7.75	0	1	1	1	0
47	1	47.2605788833	63.6171793	72.1833333333	0.0	1	0	50.0	7.75	0	1	1	1	0
48	1	47.2605788833	63.6171793	72.1833333333	1.0	1	0	38.7	7.75	0	1	1	1	0
49	1	28.1725071167	44.50614743	60.3	0.0	0	0	30.0	7.75	0	1	1	1	0
50	1	28.1725071167	44.50614743	60.3	0.0	0	1	38.0	7.75	0	1	1	1	0
51	1	23.0123655833	37.59233862	50.5333333333	0.0	0	0	30.0	7.75	0	1	1	1	0
52	1	39.7790153833	63.26119903	72.5833333333	1.0	1	0	38.7	7.75	0	1	1	1	0
53	1	16.5888888883	33.01023753	71.2833333333	0.0	1	0	60.0	7.75	0	1	1	1	0
54	1	37.0066666667	63.71749056	52.9833333333	0.0	0	0	20.0	7.75	0	1	1	1	0
55	1	37.0066666667	63.71749056	52.9833333333	0.0	0	1	12.0	7.75	0	1	1	1	0
56	1	25.85555555	40.04845634	67.3166666667	1.0	0	1	38.7	7.75	0	1	1	1	0
57	1	39.741443	67.64752939	68.6166666667	0.0	0	0	35.0	7.75	0	1	1	1	0
58	1	39.741443	67.64752939	68.6166666667	0.0	1	0	60.0	7.75	0	1	1	1	0
59	1	36.6416666667	68.89495726	78.7	0.0	0	1	30.0	7.75	0	1	1	1	0
60	1	36.833021	68.28222352	69.7666666667	0.0	0	0	45.0	7.75	0	1	1	1	0
61	1	25.5583333333	52.88347112	43.8666666667	0.0	0	1	20.0	7.75	0	1	1	1	0
62	1	40.1282754333	65.82688167	78.9	0.0	0	0	60.0	7.75	0	1	1	1	0
63	1	40.1282754333	65.82688167	78.9	1.0	1	0	40.0	7.75	0	1	1	1	0
64	1	45.8783134833	65.14715183	76.1666666667	0.0	0	0	90.0	7.75	0	1	1	1	0
65	1	45.8783134833	65.14715183	76.1666666667	1.0	0	0	30.0	7.75	0	1	1	1	0
66	1	44.9954813333	68.31946108	54.6666666667	0.0	0	1	90.0	7.75	0	1	1	1	0
67	1	44.9954813333	68.31946108	54.6666666667	1.0	1	0	45.0	7.75	0	1	1	1	0
68	1	17.1084967333	29.05064175	38.3166666667	0.0	0	0	20.0	7.75	0	1	1	1	0
69	1	17.1084967333	29.05064175	38.3166666667	0.0	0	1	22.0	7.75	0	1	1	1	0
70	1	39.0902679333	60.05021508	76.7166666667	0.0	1	0	25.0	7.75	0	1	1	1	0
71	1	39.0902679333	60.05021508	76.7166666667	0.0	0	0	45.0	7.75	0	1	1	1	0
72	1	39.0902679333	60.05021508	76.7166666667	0.0	1	0	30.0	7.75	0	1	1	1	0
73	1	39.0902679333	60.05021508	76.7166666667	1.0	0	0	30.0	7.75	0	1	1	1	0
74	1	39.0902679333	60.05021508	76.7166666667	1.0	1	1	40.0	7.75	0	1	1	1	0
75	1	39.0902679333	60.05021508	76.7166666667	0.0	0	0	60.0	7.75	0	1	1	1	0
76	1	34.8809834	55.11776935	70.4166666667	0.0	1	1	12.0	7.75	0	1	1	1	0
77	1	38.7351851833	72.82606917	70.8166666667	0.0	1	0	30.0	7.75	0	1	1	1	0
78	1	38.7351851833	72.82606917	70.8166666667	0.0	0	1	30.0	7.75	0	1	1	1	0
79	1	7.91004902	14.63331409	51.4833333333	0.0	0	1	10.0	7.75	0	1	1	1	0
80	1	31.1833333333	52.93533586	71.7833333333	0.0	0	0	40.0	7.75	0	1	1	1	0
81	1	28.6845588167	48.72482496	69.8333333333	0.0	0	1	30.0	7.75	0	1	1	1	0
82	1	37.1980979333	54.92187102	51.0833333333	1.0	0	0	38.7	7.75	0	1	1	1	0
83	1	14.4387096767	33.72320494	42.6666666667	1.0	0	1	38.7	7.75	0	1	1	1	0
84	1	37.96486885	68.01877277	67.4333333333	0.0	1	0	60.0	7.75	0	1	1	1	0
85	1	24.1979798	40.42082408	61.2333333333	1.0	1	0	25.0	7.75	0	1	1	1	0
86	1	28.79375	51.49745749	90.65	0.0	1	0	20.0	7.75	0	1	1	1	0
87	1	28.79375	51.49745749	90.65	1.0	1	0	25.0	7.75	0	1	1	1	0
88	1	26.10185185	49.48759994	73.55	0.0	0	1	38.7	7.75	0	1	1	1	0
89	1	41.4445101167	66.09756196	56.4166666667	0.0	0	0	44.0	7.75	0	1	1	1	0
90	1	29.4666116667	65.48658724	75.3666666667	0.0	1	0	20.0	7.75	0	1	1	1	0
91	1	38.9045977	68.50849737	79.6333333333	0.0	0	0	30.0	7.75	0	1	1	1	0
92	1	38.9045977	68.50849737	79.6333333333	0.0	0	0	45.0	7.75	0	1	1	1	0
93	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	50.0	7.75	0	1	1	1	0
94	1	47.87902275	66.69592392	58.0833333333	0.0	0	0	50.0	7.75	0	1	1	1	0
95	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	120.0	7.75	0	1	1	1	0
96	1	47.87902275	66.69592392	58.0833333333	0.0	0	1	25.0	7.75	0	1	1	1	0
97	1	47.87902275	66.69592392	58.0833333333	1.0	0	1	100.0	7.75	0	1	1	1	0
98	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	60.0	7.75	0	1	1	1	0
99	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	30.0	7.75	0	1	1	1	0
100	1	47.87902275	66.69592392	58.0833333333	1.0	1	0	50.0	7.75	0	1	1	1	0
101	1	47.87902275	66.69592392	58.0833333333	1.0	0	0	60.0	7.75	0	1	1	1	0
102	1	35.0562903167	68.52328677	72.2166666667	0.0	0	0	25.0	7.75	0	1	1	1	0
103	1	35.0562903167	68.52328677	72.2166666667	1.0	0	0	40.0	7.75	0	1	1	1	0
104	1	35.0562903167	68.52328677	72.2166666667	1.0	0	0	45.0	7.75	0	1	1	1	0
105	1	28.7190476167	46.05232605	64.05	0.0	0	0	20.0	7.75	0	1	1	1	0
106	1	47.49112175	67.82537809	60.8333333333	1.0	0	0	50.0	7.75	0	1	1	1	0
107	1	47.49112175	67.82537809	60.8333333333	0.0	0	0	40.0	7.75	0	1	1	1	0
108	1	47.49112175	67.82537809	60.8333333333	0.0	1	0	60.0	7.75	0	1	1	1	0
109	1	47.49112175	67.82537809	60.8333333333	0.0	0	0	35.0	7.75	0	1	1	1	0
110	1	47.49112175	67.82537809	60.8333333333	1.0	0	0	30.0	7.75	0	1	1	1	0
111	1	47.49112175	67.82537809	60.8333333333	1.0	1	0	38.7	7.75	0	1	1	1	0
112	1	47.1661189	63.96542118	63.7833333333	1.0	1	0	45.0	7.75	0	1	1	1	0
113	1	35.3366666667	61.66907149	55.0166666667	0.0	0	1	45.0	7.75	0	1	1	1	0
114	1	34.7086563333	55.47388975	67.5166666667	0.0	0	0	50.0	7.75	0	1	1	1	0
115	1	40.1878643167	68.17891774	62.2333333333	0.0	1	0	70.0	7.75	0	1	1	1	0
116	1	40.1878643167	68.17891774	62.2333333333	0.0	0	0	45.0	7.75	0	1	1	1	0
117	1	40.1878643167	68.17891774	62.2333333333	1.0	0	0	60.0	7.75	0	1	1	1	0
118	1	40.1878643167	68.17891774	62.2333333333	1.0	0	0	45.0	7.75	0	1	1	1	0
119	1	40.1878643167	68.17891774	62.2333333333	1.0	1	0	38.7	7.75	0	1	1	1	0
120	1	33.2	68.79214545	96.25	0.0	1	0	50.0	7.75	0	1	1	1	0
121	1	48.2056049667	67.06555236	74.5333333333	0.0	0	0	45.0	7.75	0	1	1	1	0
122	1	48.2056049667	67.06555236	74.5333333333	1.0	0	0	120.0	7.75	0	1	1	1	0
123	1	48.2056049667	67.06555236	74.5333333333	0.0	0	1	60.0	7.75	0	1	1	1	0
124	1	48.2056049667	67.06555236	74.5333333333	1.0	1	0	45.0	7.75	0	1	1	1	0
125	1	48.2056049667	67.06555236	74.5333333333	0.0	0	0	30.0	7.75	0	1	1	1	0
126	1	48.2056049667	67.06555236	74.5333333333	0.0	0	0	35.0	7.75	0	1	1	1	0
127	1	48.2056049667	67.06555236	74.5333333333	1.0	0	0	50.0	7.75	0	1	1	1	0
128	1	16.1523809517	27.70877356	38.6166666667	0.0	1	0	30.0	7.75	0	1	1	1	0
129	1	16.1523809517	27.70877356	38.6166666667	0.0	0	0	35.0	7.75	0	1	1	1	0
130	1	16.1523809517	27.70877356	38.6166666667	1.0	0	0	38.7	7.75	0	1	1	1	0
131	1	16.1523809517	27.70877356	38.6166666667	1.0	0	0	38.7	7.75	0	1	1	1	0
132	1	45.33499255	63.90547715	72.5166666667	1.0	1	0	45.0	7.75	0	1	1	1	0
133	1	45.33499255	63.90547715	72.5166666667	1.0	1	0	45.0	7.75	0	1	1	1	0
134	1	45.33499255	63.90547715	72.5166666667	1.0	0	0	80.0	7.75	0	1	1	1	0
135	1	26.3727565167	42.94517164	65.5333333333	1.0	0	0	20.0	7.75	0	1	1	1	0
136	1	26.3727565167	42.94517164	65.5333333333	1.0	0	0	30.0	7.75	0	1	1	1	0
137	1	26.3727565167	42.94517164	65.5333333333	0.0	0	0	60.0	7.75	0	1	1	1	0
138	1	26.3727565167	42.94517164	65.5333333333	1.0	0	1	60.0	7.75	0	1	1	1	0
139	1	26.3727565167	42.94517164	65.5333333333	1.0	0	0	20.0	7.75	0	1	1	1	0
140	1	26.3727565167	42.94517164	65.5333333333	1.0	0	1	1.0	7.75	0	1	1	1	0
141	1	26.3727565167	42.94517164	65.5333333333	1.0	0	0	35.0	7.75	0	1	1	1	0
142	1	26.3727565167	42.94517164	65.5333333333	0.0	1	0	25.0	7.75	0	1	1	1	0
143	1	26.3727565167	42.94517164	65.5333333333	1.0	0	1	10.0	7.75	0	1	1	1	0
144	1	26.3727565167	42.94517164	65.5333333333	1.0	1	0	30.0	7.75	0	1	1	1	0
145	1	26.3727565167	42.94517164	65.5333333333	1.0	0	0	45.0	7.75	0	1	1	1	0
146	1	45.2344690667	68.21929938	75.1166666667	1.0	1	0	79.2	7.75	0	1	1	1	0
147	1	40.9683836667	66.60847718	53.6833333333	0.0	1	0	60.0	7.75	0	1	1	1	0
148	1	40.9683836667	66.60847718	53.6833333333	1.0	0	0	50.0	7.75	0	1	1	1	0
149	1	40.9683836667	66.60847718	53.6833333333	1.0	0	0	38.7	7.75	0	1	1	1	0
150	1	37.9071900833	68.39660218	66.8333333333	0.0	1	0	60.0	7.75	0	1	1	1	0
151	1	37.9071900833	68.39660218	66.8333333333	0.0	0	0	45.0	7.75	0	1	1	1	0
152	1	37.9071900833	68.39660218	66.8333333333	0.0	0	1	60.0	7.75	0	1	1	1	0
153	1	37.9071900833	68.39660218	66.8333333333	1.0	0	1	70.0	7.75	0	1	1	1	0
154	1	37.9071900833	68.39660218	66.8333333333	0.0	1	0	38.7	7.75	0	1	1	1	0
155	1	37.9071900833	68.39660218	66.8333333333	0.0	1	1	38.7	7.75	0	1	1	1	0
156	1	37.9071900833	68.39660218	66.8333333333	1.0	1	0	60.0	7.75	0	1	1	1	0
157	1	37.9071900833	68.39660218	66.8333333333	1.0	1	0	40.0	7.75	0	1	1	1	0
158	1	37.9071900833	68.39660218	66.8333333333	1.0	1	0	35.0	7.75	0	1	1	1	0
159	1	37.9071900833	68.39660218	66.8333333333	1.0	1	0	75.0	7.75	0	1	1	1	0
160	1	37.9071900833	68.39660218	66.8333333333	1.0	0	0	45.0	7.75	0	1	1	1	0
161	1	43.8253634833	63.99179805	65.7333333333	0.0	0	0	60.0	7.75	0	1	1	1	0
162	1	43.8253634833	63.99179805	65.7333333333	1.0	0	0	38.7	7.75	0	1	1	1	0
163	1	43.8253634833	63.99179805	65.7333333333	1.0	0	0	90.0	7.75	0	1	1	1	0
164	1	49.0843246	64.82919017	71.1166666667	1.0	0	1	70.0	7.75	0	1	1	1	0
165	1	11.3888888883	37.18657779	35.15	0.0	0	1	60.0	7.75	0	1	1	1	0
166	1	24.5843665833	48.90327895	58.7666666667	1.0	0	1	25.0	7.75	0	1	1	1	0
167	1	24.5843665833	48.90327895	58.7666666667	0.0	0	1	25.0	7.75	0	1	1	1	0
168	1	37.6085556333	60.25857119	55.1333333333	1.0	1	0	45.0	7.75	0	1	1	1	0
169	1	37.6085556333	60.25857119	55.1333333333	0.0	1	0	40.0	7.75	0	1	1	1	0
170	1	37.6085556333	60.25857119	55.1333333333	0.0	1	0	60.0	7.75	0	1	1	1	0
171	1	37.6085556333	60.25857119	55.1333333333	0.0	0	1	38.7	7.75	0	1	1	1	0
172	1	37.6085556333	60.25857119	55.1333333333	1.0	0	1	38.7	7.75	0	1	1	1	0
173	1	37.6085556333	60.25857119	55.1333333333	0.0	0	0	38.7	7.75	0	1	1	1	0
174	1	42.8038599667	66.83415588	70.3833333333	0.0	0	0	45.0	7.75	0	1	1	1	0
175	1	42.8038599667	66.83415588	70.3833333333	0.0	0	0	40.0	7.75	0	1	1	1	0
176	1	42.8038599667	66.83415588	70.3833333333	0.0	0	0	30.0	7.75	0	1	1	1	0
177	1	42.8038599667	66.83415588	70.3833333333	1.0	0	1	55.0	7.75	0	1	1	1	0
178	1	25.5992823	48.3684003	73.2166666667	0.0	0	0	23.0	7.75	0	1	1	1	0
179	1	25.5992823	48.3684003	73.2166666667	0.0	0	1	45.0	7.75	0	1	1	1	0
180	1	29.5083333333	65.62197309	92.75	0.0	0	1	40.0	7.75	0	1	1	1	0
181	1	38.3041666667	77.86252603	101.333333333	1.0	0	0	60.0	7.75	0	1	1	1	0
182	1	33.8378619667	68.44091579	73.0833333333	1.0	1	0	60.0	7.75	0	1	1	1	0
183	1	33.8378619667	68.44091579	73.0833333333	0.0	0	1	38.7	7.75	0	1	1	1	0
184	1	33.8378619667	68.44091579	73.0833333333	1.0	0	0	45.0	7.75	0	1	1	1	0
185	1	33.8378619667	68.44091579	73.0833333333	1.0	0	1	45.0	7.75	0	1	1	1	0
186	1	46.9126850167	68.04205471	65.05	1.0	1	0	45.0	7.75	0	1	1	1	0
