ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
104	1	36.83	68.28	69.77	7.75	0	1	1	1	0
105	1	36.83	68.28	69.77	7.75	0	1	1	1	0
106	1	25.56	52.88	43.87	7.75	0	1	1	1	0
107	1	25.56	52.88	43.87	7.75	0	1	1	1	0
108	1	40.13	65.83	78.90	7.75	0	1	1	1	0
109	1	40.13	65.83	78.90	7.75	0	1	1	1	0
110	1	45.88	65.15	76.17	7.75	0	1	1	1	0
111	1	45.88	65.15	76.17	7.75	0	1	1	1	0
112	1	45.00	68.32	54.67	7.75	0	1	1	1	0
113	1	45.00	68.32	54.67	7.75	0	1	1	1	0
114	1	45.00	68.32	54.67	7.75	0	1	1	1	0
115	1	17.11	29.05	38.32	7.75	0	1	1	1	0
116	1	17.11	29.05	38.32	7.75	0	1	1	1	0
117	1	17.11	29.05	38.32	7.75	0	1	1	1	0
118	1	39.09	60.05	76.72	7.75	0	1	1	1	0
119	1	39.09	60.05	76.72	7.75	0	1	1	1	0
120	1	39.09	60.05	76.72	7.75	0	1	1	1	0
121	1	39.09	60.05	76.72	7.75	0	1	1	1	0
122	1	39.09	60.05	76.72	7.75	0	1	1	1	0
123	1	39.09	60.05	76.72	7.75	0	1	1	1	0
124	1	39.09	60.05	76.72	7.75	0	1	1	1	0
125	1	39.09	60.05	76.72	7.75	0	1	1	1	0
126	1	39.09	60.05	76.72	7.75	0	1	1	1	0
127	1	39.09	60.05	76.72	7.75	0	1	1	1	0
128	1	32.79	77.91	93.58	7.75	0	1	1	1	0
129	1	34.88	55.12	70.42	7.75	0	1	1	1	0
130	1	34.88	55.12	70.42	7.75	0	1	1	1	0
131	1	34.88	55.12	70.42	7.75	0	1	1	1	0
132	1	38.74	72.83	70.82	7.75	0	1	1	1	0
133	1	38.74	72.83	70.82	7.75	0	1	1	1	0
134	1	29.15	51.41	55.22	7.75	0	1	1	1	0
135	1	7.91	14.63	51.48	7.75	0	1	1	1	0
136	1	31.18	52.94	71.78	7.75	0	1	1	1	0
137	1	28.68	48.72	69.83	7.75	0	1	1	1	0
138	1	41.98	68.27	66.68	7.75	0	1	1	1	0
139	1	28.16	43.62	68.22	7.75	0	1	1	1	0
140	1	51.00	100.61	127.95	7.75	0	1	1	1	0
141	1	37.20	54.92	51.08	7.75	0	1	1	1	0
142	1	14.44	33.72	42.67	7.75	0	1	1	1	0
143	1	37.25	68.79	89.02	7.75	0	1	1	1	0
144	1	31.26	68.46	82.73	7.75	0	1	1	1	0
145	1	37.96	68.02	67.43	7.75	0	1	1	1	0
