ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	TRANSIT_COST	FREE_COST	av1	av2	av3	av4	HYPERP
0	1	47.87902275	66.69592392	58.083333333333336	1.0	7.75	0	1	1	1	0	5.776570934275183
1	1	47.87902275	66.69592392	58.083333333333336	1.0	7.75	0	1	1	1	0	5.776570934275183
2	1	47.87902275	66.69592392	58.083333333333336	1.0	7.75	0	1	1	1	0	5.776570934275183
3	1	47.87902275	66.69592392	58.083333333333336	1.0	7.75	0	1	1	1	0	5.776570934275183
4	1	47.87902275	66.69592392	58.083333333333336	1.0	7.75	0	1	1	1	0	5.776570934275183
5	1	47.87902275	66.69592392	58.083333333333336	1.0	7.75	0	1	1	1	0	5.776570934275183
6	1	35.05629031666667	68.52328677	72.21666666666667	0.0	7.75	0	1	1	1	0	1.6354324885625116
7	1	35.05629031666667	68.52328677	72.21666666666667	0.0	7.75	0	1	1	1	0	1.6354324885625116
8	1	35.05629031666667	68.52328677	72.21666666666667	0.0	7.75	0	1	1	1	0	1.6354324885625116
9	1	28.719047616666668	46.05232605	64.05	0.0	7.75	0	1	1	1	0	1.0841011483196914
10	1	47.491121750000005	67.82537809	60.833333333333336	1.0	7.75	0	1	1	1	0	4.50265517937403
11	1	47.491121750000005	67.82537809	60.833333333333336	1.0	7.75	0	1	1	1	0	4.50265517937403
12	1	40.18786431666667	68.17891774	62.233333333333334	0.0	7.75	0	1	1	1	0	2.7411037476369837
13	1	40.18786431666667	68.17891774	62.233333333333334	0.0	7.75	0	1	1	1	0	2.7411037476369837
14	1	48.20560496666667	67.06555236	74.53333333333333	0.0	7.75	0	1	1	1	0	2.2529688674203645
15	1	45.33499255	63.90547715	72.51666666666667	0.0	7.75	0	1	1	1	0	2.065931513599003
16	1	45.33499255	63.90547715	72.51666666666667	0.0	7.75	0	1	1	1	0	2.065931513599003
17	1	45.33499255	63.90547715	72.51666666666667	1.0	7.75	0	1	1	1	0	2.065931513599003
18	1	26.372756516666666	42.94517164	65.53333333333333	1.0	7.75	0	1	1	1	0	0.8987398680251565
19	1	45.23446906666667	68.21929938	75.11666666666666	1.0	7.75	0	1	1	1	0	2.023589435738154
20	1	45.23446906666667	68.21929938	75.11666666666666	1.0	7.75	0	1	1	1	0	2.023589435738154
21	1	40.96838366666667	66.60847718	53.68333333333333	0.0	7.75	0	1	1	1	0	4.629076694994914
22	1	40.96838366666667	66.60847718	53.68333333333333	1.0	7.75	0	1	1	1	0	4.629076694994914
23	1	40.96838366666667	66.60847718	53.68333333333333	0.0	7.75	0	1	1	1	0	4.629076694994914
24	1	37.90719008333334	68.39660218	66.83333333333333	1.0	7.75	0	1	1	1	0	2.096601736908014
25	1	37.90719008333334	68.39660218	66.83333333333333	1.0	7.75	0	1	1	1	0	2.096601736908014
26	1	49.08432460000001	64.82919017	71.11666666666666	0.0	7.75	0	1	1	1	0	2.5907000716168396
27	1	24.584366583333335	48.90327895	58.766666666666666	0.0	7.75	0	1	1	1	0	1.2039353364072065
28	1	37.60855563333333	60.25857119	55.13333333333333	0.0	7.75	0	1	1	1	0	2.9962474896329208
29	1	37.60855563333333	60.25857119	55.13333333333333	0.0	7.75	0	1	1	1	0	2.9962474896329208
30	1	37.60855563333333	60.25857119	55.13333333333333	1.0	7.75	0	1	1	1	0	2.9962474896329208
31	1	37.60855563333333	60.25857119	55.13333333333333	0.0	7.75	0	1	1	1	0	2.9962474896329208
32	1	42.803859966666664	66.83415588	70.38333333333334	0.0	7.75	0	1	1	1	0	2.142323571392439
33	1	42.803859966666664	66.83415588	70.38333333333334	1.0	7.75	0	1	1	1	0	2.142323571392439
34	1	42.803859966666664	66.83415588	70.38333333333334	1.0	7.75	0	1	1	1	0	2.142323571392439
35	1	42.803859966666664	66.83415588	70.38333333333334	0.0	7.75	0	1	1	1	0	2.142323571392439
36	1	42.803859966666664	66.83415588	70.38333333333334	1.0	7.75	0	1	1	1	0	2.142323571392439
37	1	33.837861966666665	68.44091579	73.08333333333333	0.0	7.75	0	1	1	1	0	1.5464437978835983
38	1	46.912685016666664	68.04205471	65.05	0.0	7.75	0	1	1	1	0	3.3241995722852766
39	1	46.912685016666664	68.04205471	65.05	1.0	7.75	0	1	1	1	0	3.3241995722852766
40	1	39.87602955	68.49460435	74.75	0.0	7.75	0	1	1	1	0	1.7418321907765453
41	1	39.87602955	68.49460435	74.75	0.0	7.75	0	1	1	1	0	1.7418321907765453
42	1	33.01922141666667	52.32345148	64.75	1.0	7.75	0	1	1	1	0	1.404738662902281
43	1	46.380616383333326	68.28061554	50.016666666666666	0.0	7.75	0	1	1	1	0	16.647353810659823
44	1	33.58475176666666	52.9011677	66.5	1.0	7.75	0	1	1	1	0	1.371740154591188
45	1	32.313756616666666	47.06751005	75.93333333333334	0.0	7.75	0	1	1	1	0	0.9013730304030464
46	1	32.313756616666666	47.06751005	75.93333333333334	1.0	7.75	0	1	1	1	0	0.9013730304030464
47	1	47.26057888333333	63.6171793	72.18333333333334	0.0	7.75	0	1	1	1	0	2.2416133582698756
48	1	47.26057888333333	63.6171793	72.18333333333334	1.0	7.75	0	1	1	1	0	2.2416133582698756
49	1	28.172507116666665	44.50614743	60.3	0.0	7.75	0	1	1	1	0	1.1440714519329287
50	1	28.172507116666665	44.50614743	60.3	0.0	7.75	0	1	1	1	0	1.1440714519329287
51	1	23.012365583333334	37.59233862	50.53333333333333	0.0	7.75	0	1	1	1	0	1.0843491730046448
52	1	39.77901538333333	63.26119903	72.58333333333333	1.0	7.75	0	1	1	1	0	1.6921918362884298
53	1	16.58888888833333	33.01023753	71.28333333333333	0.0	7.75	0	1	1	1	0	0.4618428395483814
54	1	37.00666666666667	63.71749056	52.983333333333334	0.0	7.75	0	1	1	1	0	3.5030768136866266
55	1	37.00666666666667	63.71749056	52.983333333333334	0.0	7.75	0	1	1	1	0	3.5030768136866266
56	1	25.855555550000002	40.04845634	67.31666666666666	1.0	7.75	0	1	1	1	0	0.7790060485623738
57	1	39.741443000000004	67.64752939	68.61666666666666	0.0	7.75	0	1	1	1	0	2.074357244170727
58	1	39.741443000000004	67.64752939	68.61666666666666	0.0	7.75	0	1	1	1	0	2.074357244170727
59	1	36.641666666666666	68.89495726	78.7	0.0	7.75	0	1	1	1	0	1.4538131308103823
60	1	36.833021	68.28222352	69.76666666666667	0.0	7.75	0	1	1	1	0	1.8380055500890646
61	1	25.558333333333334	52.88347112	43.86666666666667	0.0	7.75	0	1	1	1	0	2.4651873165225306
62	1	40.128275433333336	65.82688167	78.9	0.0	7.75	0	1	1	1	0	1.497918452663584
63	1	40.128275433333336	65.82688167	78.9	1.0	7.75	0	1	1	1	0	1.497918452663584
64	1	45.878313483333336	65.14715183	76.16666666666667	0.0	7.75	0	1	1	1	0	1.895023855624601
65	1	45.878313483333336	65.14715183	76.16666666666667	1.0	7.75	0	1	1	1	0	1.895023855624601
66	1	44.99548133333334	68.31946108	54.666666666666664	0.0	7.75	0	1	1	1	0	6.2628787467485925
67	1	44.99548133333334	68.31946108	54.666666666666664	1.0	7.75	0	1	1	1	0	6.2628787467485925
68	1	17.10849673333333	29.05064175	38.31666666666667	0.0	7.75	0	1	1	1	0	1.0043601978368402
69	1	17.10849673333333	29.05064175	38.31666666666667	0.0	7.75	0	1	1	1	0	1.0043601978368402
