ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
66	1	90.0	68.31946108	54.6666666667	0.0	0	1	90.0	7.75	0	1	1	1	1
67	1	45.0	68.31946108	54.6666666667	1.0	1	0	45.0	7.75	0	1	1	1	1
68	1	20.0	29.05064175	38.3166666667	0.0	0	0	20.0	7.75	0	1	1	1	1
69	1	22.0	29.05064175	38.3166666667	0.0	0	1	22.0	7.75	0	1	1	1	1
70	1	25.0	60.05021508	76.7166666667	0.0	1	0	25.0	7.75	0	1	1	1	1
71	1	45.0	60.05021508	76.7166666667	0.0	0	0	45.0	7.75	0	1	1	1	1
72	1	30.0	60.05021508	76.7166666667	0.0	1	0	30.0	7.75	0	1	1	1	1
73	1	30.0	60.05021508	76.7166666667	1.0	0	0	30.0	7.75	0	1	1	1	1
74	1	40.0	60.05021508	76.7166666667	1.0	1	1	40.0	7.75	0	1	1	1	1
75	1	60.0	60.05021508	76.7166666667	0.0	0	0	60.0	7.75	0	1	1	1	1
76	1	12.0	55.11776935	70.4166666667	0.0	1	1	12.0	7.75	0	1	1	1	1
77	1	30.0	72.82606917	70.8166666667	0.0	1	0	30.0	7.75	0	1	1	1	1
78	1	30.0	72.82606917	70.8166666667	0.0	0	1	30.0	7.75	0	1	1	1	1
79	1	10.0	14.63331409	51.4833333333	0.0	0	1	10.0	7.75	0	1	1	1	1
80	1	40.0	52.93533586	71.7833333333	0.0	0	0	40.0	7.75	0	1	1	1	1
81	1	30.0	48.72482496	69.8333333333	0.0	0	1	30.0	7.75	0	1	1	1	1
82	1	38.7	54.92187102	51.0833333333	1.0	0	0	38.7	7.75	0	1	1	1	1
83	1	38.7	33.72320494	42.6666666667	1.0	0	1	38.7	7.75	0	1	1	1	1
84	1	60.0	68.01877277	67.4333333333	0.0	1	0	60.0	7.75	0	1	1	1	1
85	1	25.0	40.42082408	61.2333333333	1.0	1	0	25.0	7.75	0	1	1	1	1
86	1	20.0	51.49745749	90.65	0.0	1	0	20.0	7.75	0	1	1	1	1
87	1	25.0	51.49745749	90.65	1.0	1	0	25.0	7.75	0	1	1	1	1
88	1	38.7	49.48759994	73.55	0.0	0	1	38.7	7.75	0	1	1	1	1
89	1	44.0	66.09756196	56.4166666667	0.0	0	0	44.0	7.75	0	1	1	1	1
90	1	20.0	65.48658724	75.3666666667	0.0	1	0	20.0	7.75	0	1	1	1	1
91	1	30.0	68.50849737	79.6333333333	0.0	0	0	30.0	7.75	0	1	1	1	1
92	1	45.0	68.50849737	79.6333333333	0.0	0	0	45.0	7.75	0	1	1	1	1
93	1	50.0	66.69592392	58.0833333333	1.0	0	0	50.0	7.75	0	1	1	1	1
94	1	50.0	66.69592392	58.0833333333	0.0	0	0	50.0	7.75	0	1	1	1	1
95	1	120.0	66.69592392	58.0833333333	1.0	0	0	120.0	7.75	0	1	1	1	1
96	1	25.0	66.69592392	58.0833333333	0.0	0	1	25.0	7.75	0	1	1	1	1
97	1	100.0	66.69592392	58.0833333333	1.0	0	1	100.0	7.75	0	1	1	1	1
98	1	60.0	66.69592392	58.0833333333	1.0	0	0	60.0	7.75	0	1	1	1	1
99	1	30.0	66.69592392	58.0833333333	1.0	0	0	30.0	7.75	0	1	1	1	1
100	1	50.0	66.69592392	58.0833333333	1.0	1	0	50.0	7.75	0	1	1	1	1
101	1	60.0	66.69592392	58.0833333333	1.0	0	0	60.0	7.75	0	1	1	1	1
102	1	25.0	68.52328677	72.2166666667	0.0	0	0	25.0	7.75	0	1	1	1	1
103	1	40.0	68.52328677	72.2166666667	1.0	0	0	40.0	7.75	0	1	1	1	1
104	1	45.0	68.52328677	72.2166666667	1.0	0	0	45.0	7.75	0	1	1	1	1
105	1	20.0	46.05232605	64.05	0.0	0	0	20.0	7.75	0	1	1	1	1
106	1	50.0	67.82537809	60.8333333333	1.0	0	0	50.0	7.75	0	1	1	1	1
107	1	40.0	67.82537809	60.8333333333	0.0	0	0	40.0	7.75	0	1	1	1	1
108	1	60.0	67.82537809	60.8333333333	0.0	1	0	60.0	7.75	0	1	1	1	1
109	1	35.0	67.82537809	60.8333333333	0.0	0	0	35.0	7.75	0	1	1	1	1
110	1	30.0	67.82537809	60.8333333333	1.0	0	0	30.0	7.75	0	1	1	1	1
111	1	38.7	67.82537809	60.8333333333	1.0	1	0	38.7	7.75	0	1	1	1	1
112	1	45.0	63.96542118	63.7833333333	1.0	1	0	45.0	7.75	0	1	1	1	1
113	1	45.0	61.66907149	55.0166666667	0.0	0	1	45.0	7.75	0	1	1	1	1
114	1	50.0	55.47388975	67.5166666667	0.0	0	0	50.0	7.75	0	1	1	1	1
115	1	70.0	68.17891774	62.2333333333	0.0	1	0	70.0	7.75	0	1	1	1	1
116	1	45.0	68.17891774	62.2333333333	0.0	0	0	45.0	7.75	0	1	1	1	1
117	1	60.0	68.17891774	62.2333333333	1.0	0	0	60.0	7.75	0	1	1	1	1
118	1	45.0	68.17891774	62.2333333333	1.0	0	0	45.0	7.75	0	1	1	1	1
119	1	38.7	68.17891774	62.2333333333	1.0	1	0	38.7	7.75	0	1	1	1	1
120	1	50.0	68.79214545	96.25	0.0	1	0	50.0	7.75	0	1	1	1	1
121	1	45.0	67.06555236	74.5333333333	0.0	0	0	45.0	7.75	0	1	1	1	1
122	1	120.0	67.06555236	74.5333333333	1.0	0	0	120.0	7.75	0	1	1	1	1
123	1	60.0	67.06555236	74.5333333333	0.0	0	1	60.0	7.75	0	1	1	1	1
124	1	45.0	67.06555236	74.5333333333	1.0	1	0	45.0	7.75	0	1	1	1	1
125	1	30.0	67.06555236	74.5333333333	0.0	0	0	30.0	7.75	0	1	1	1	1
126	1	35.0	67.06555236	74.5333333333	0.0	0	0	35.0	7.75	0	1	1	1	1
127	1	50.0	67.06555236	74.5333333333	1.0	0	0	50.0	7.75	0	1	1	1	1
128	1	30.0	27.70877356	38.6166666667	0.0	1	0	30.0	7.75	0	1	1	1	1
129	1	35.0	27.70877356	38.6166666667	0.0	0	0	35.0	7.75	0	1	1	1	1
130	1	38.7	27.70877356	38.6166666667	1.0	0	0	38.7	7.75	0	1	1	1	1
131	1	38.7	27.70877356	38.6166666667	1.0	0	0	38.7	7.75	0	1	1	1	1
132	1	45.0	63.90547715	72.5166666667	1.0	1	0	45.0	7.75	0	1	1	1	1
133	1	45.0	63.90547715	72.5166666667	1.0	1	0	45.0	7.75	0	1	1	1	1
134	1	80.0	63.90547715	72.5166666667	1.0	0	0	80.0	7.75	0	1	1	1	1
135	1	20.0	42.94517164	65.5333333333	1.0	0	0	20.0	7.75	0	1	1	1	1
136	1	30.0	42.94517164	65.5333333333	1.0	0	0	30.0	7.75	0	1	1	1	1
137	1	60.0	42.94517164	65.5333333333	0.0	0	0	60.0	7.75	0	1	1	1	1
138	1	60.0	42.94517164	65.5333333333	1.0	0	1	60.0	7.75	0	1	1	1	1
139	1	20.0	42.94517164	65.5333333333	1.0	0	0	20.0	7.75	0	1	1	1	1
140	1	1.0	42.94517164	65.5333333333	1.0	0	1	1.0	7.75	0	1	1	1	1
141	1	35.0	42.94517164	65.5333333333	1.0	0	0	35.0	7.75	0	1	1	1	1
142	1	25.0	42.94517164	65.5333333333	0.0	1	0	25.0	7.75	0	1	1	1	1
143	1	10.0	42.94517164	65.5333333333	1.0	0	1	10.0	7.75	0	1	1	1	1
144	1	30.0	42.94517164	65.5333333333	1.0	1	0	30.0	7.75	0	1	1	1	1
145	1	45.0	42.94517164	65.5333333333	1.0	0	0	45.0	7.75	0	1	1	1	1
146	1	79.2	68.21929938	75.1166666667	1.0	1	0	79.2	7.75	0	1	1	1	1
147	1	60.0	66.60847718	53.6833333333	0.0	1	0	60.0	7.75	0	1	1	1	1
