zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,route,driving_distance,duration_in_traffic,driving_duration,transit_duration
10055,-73.97367749,40.75905009,17.01542857,2342.8,56.45942857,67.16177109,35,I-495 E and I-678 S,17.73827794,2665,2249,3532
10065,-73.96383028,40.7643839,18.17986865,2486.670607,55.56480298,66.09756196,6852,Grand Central Pkwy and I-678 S,20.71588777,2348,2358,3385
10069,-73.98904229,40.77670303,20.41074442,2948.759305,56.60475186,67.33464159,806,I-678 S,26.61331993,2988,2730,4716
10075,-73.95508751,40.77313457,19.02941967,2277.892131,57.17986557,68.01877277,3050,Grand Central Pkwy and I-678 S,19.68814014,2383,2346,4046
10096,-73.98268989,40.75464411,16.68166667,2229,57.23777778,68.0876627,18,I-495 E and I-678 S,17.50588518,2556,2174,3555
10097,-73.98472396,40.76205423,17.74864769,2973.544484,56.84786477,67.62383852,281,I-495 E and I-678 S,18.24593804,2989,2586,3586
10103,-73.97662136,40.76034454,17.47305556,2842.513889,56.19444444,66.84655708,72,I-495 E and I-678 S,17.91599004,2800,2364,3265
10104,-73.97902718,40.76053101,17.66358108,2798.189189,56.26790541,66.93394316,148,I-495 E and I-678 S,18.16826667,2976,2524,3610
10105,-73.97900264,40.76295019,17.88646465,2756.590909,55.87080808,66.46157282,198,I-495 E and I-678 S,18.21238401,2900,2498,3606
10106,-73.98088023,40.76533766,18.62155844,2963.467532,55.35077922,65.84296827,77,Grand Central Pkwy,21.73431484,2890,2815,3610
10107,-73.98253135,40.76628438,18.08135135,2518.864865,55.70108108,66.25967269,37,I-495 E and I-678 S,18.63553766,3032,2582,3761
10110,-73.98120465,40.75389627,16.75230769,2644.846154,57.625,68.54828604,26,I-495 E and I-678 S,17.41267953,2506,2137,3488
10111,-73.97740277,40.75904232,17.30316901,2881.507042,57.69535211,68.63197397,142,I-495 E and I-678 S,17.80725012,2757,2318,3360
10112,-73.97971823,40.7592331,17.58270073,3094.89781,56.47927007,67.18537371,137,I-495 E and I-678 S,17.91599004,2812,2401,3654
10115,-73.963418,40.8109035,18.5875,3174.5,56.4975,67.20705927,4,Grand Central Pkwy and I-678 S,18.84493969,2731,2680,4907
10118,-73.9855966,40.74838817,17.10914894,2347,57.37638298,68.25254165,47,I-495 E and I-678 S,17.65812108,2777,2427,3831
10119,-73.99245744,40.75134135,17.28238636,2827.465909,56.81909091,67.58961034,88,I-495 E and I-678 S,17.67427672,2722,2355,3015
10120,-73.98899717,40.74983458,17.02083333,2611.25,52.81666667,62.82849413,12,I-495 E and I-678 S,17.83894004,2810,2450,3082
10121,-73.99194769,40.74997406,17.3038806,2973.067164,57.38231343,68.25959626,670,I-495 E and I-678 S,17.67738358,2693,2327,2965
10122,-73.9916793,40.7518021,17.421,2850,56.847,67.62280983,10,I-495 E and I-678 S,17.65377148,2711,2345,2951
10123,-73.9907416,40.7514137,17.169,2588.7,61.63,73.31246627,10,I-495 E and I-678 S,17.80103641,2751,2382,3044
10128,-73.95033862,40.78178507,18.58254072,2103.377419,57.60398441,68.52328677,7183,Grand Central Pkwy and I-678 S,18.94000945,2202,2141,4333
10151,-73.97308383,40.76323167,17.74277778,2493.611111,54.86888889,65.26973172,18,Grand Central Pkwy and I-678 S,21.19993578,2611,2564,3701
10152,-73.97223222,40.75850103,16.9425,2782.266667,56.764,67.52407651,60,I-495 E and I-678 S,17.78425939,2694,2280,3324
10153,-73.97242316,40.76364879,17.2517037,2697.2,54.93674074,65.35044544,135,Grand Central Pkwy and I-678 S,21.13593457,2624,2522,3783
10154,-73.97246964,40.75778559,16.9836,2606.173333,56.97766667,67.77824542,150,I-495 E and I-678 S,17.64010132,2598,2191,3361
10162,-73.95139132,40.76968326,18.91947368,2288.684211,57.26894737,68.12474074,19,Grand Central Pkwy and I-678 S,19.35757076,2265,2229,4317
10165,-73.97872283,40.75212418,16.69278846,2553.153846,57.59461538,68.51214177,104,I-495 E and I-678 S,17.20949122,2420,2071,3597
10166,-73.97680951,40.75348487,16.77425,2597.05,56.76766667,67.52843822,120,I-495 E and I-678 S,17.34992106,2477,2139,5491
10167,-73.97460749,40.75462175,16.75502959,2486.39645,57.42,68.30442663,169,I-495 E and I-678 S,17.59101301,2615,2201,3725
10168,-73.97663312,40.75126231,16.85292308,2236.884615,57.67761538,68.6108751,130,I-495 E and I-678 S,17.09267347,2334,1978,3398
