,MAINMODE,ODTravelTimeToAirport,zipcode,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration,ModeGroup
393,Limo/Executive Car/Town Car Service,44,10065.0,41.4445101187,55.5648029772,66.097561964,6852,56.4166666667,other
399,Limo/Executive Car/Town Car Service,20,11378.0,29.4666116612,55.0511881188,65.4865872442,303,75.3666666667,other
401,Limo/Executive Car/Town Car Service,30,10032.0,38.9045977012,57.5915517241,68.5084973711,290,79.6333333333,other
1,Taxi,50,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,taxi
2,Taxi,50,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,taxi
4,Taxi,120,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,taxi
8,Taxi,25,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,taxi
21,Taxi,20,11385.0,28.719047619,38.7138095238,46.0523260545,21,64.05,taxi
25,Taxi,50,10011.0,47.4911217462,57.0172886662,67.8253780938,11179,60.8333333333,taxi
26,Taxi,40,10011.0,47.4911217462,57.0172886662,67.8253780938,11179,60.8333333333,taxi
27,Taxi,60,10011.0,47.4911217462,57.0172886662,67.8253780938,11179,60.8333333333,taxi
30,Taxi,35,10011.0,47.4911217462,57.0172886662,67.8253780938,11179,60.8333333333,taxi
32,Taxi,30,10011.0,47.4911217462,57.0172886662,67.8253780938,11179,60.8333333333,taxi
35,Taxi,45,10044.0,35.3366666667,51.842,61.6690714937,55,55.0166666667,taxi
36,Taxi,50,11205.0,34.7086563307,46.6340310078,55.4738897469,258,67.5166666667,taxi
38,Taxi,70,10017.0,40.1878643112,57.3144911669,68.1789177386,20095,62.2333333333,taxi
39,Taxi,45,10017.0,40.1878643112,57.3144911669,68.1789177386,20095,62.2333333333,taxi
41,Taxi,60,10017.0,40.1878643112,57.3144911669,68.1789177386,20095,62.2333333333,taxi
45,Taxi,45,10017.0,40.1878643112,57.3144911669,68.1789177386,20095,62.2333333333,taxi
49,Taxi,50,10468.0,33.2,57.83,68.7921454512,2,96.25,taxi
50,Taxi,45,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,taxi
51,Taxi,120,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,taxi
53,Taxi,60,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,taxi
54,Taxi,45,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,taxi
56,Taxi,30,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,taxi
57,Taxi,35,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,taxi
59,Taxi,30,11413.0,16.1523809524,23.2933333333,27.7087735554,21,38.6166666667,taxi
61,Taxi,35,11413.0,16.1523809524,23.2933333333,27.7087735554,21,38.6166666667,taxi
67,Taxi,45,10012.0,45.3349925493,53.7220306052,63.9054771456,5816,72.5166666667,taxi
72,Taxi,20,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
73,Taxi,30,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
75,Taxi,60,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
76,Taxi,60,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
81,Taxi,20,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
83,Taxi,1,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
86,Taxi,35,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
88,Taxi,25,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
89,Taxi,10,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
90,Taxi,30,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
91,Taxi,45,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,taxi
96,Taxi,60,10022.0,40.9683836687,55.9943029876,66.6084771842,18443,53.6833333333,taxi
103,Taxi,60,10016.0,37.907190084,57.4974872183,68.3966021754,21124,66.8333333333,taxi
108,Taxi,45,10016.0,37.907190084,57.4974872183,68.3966021754,21124,66.8333333333,taxi
113,Taxi,25,11103.0,24.5843665768,41.110458221,48.903278947,371,58.7666666667,taxi
114,Taxi,25,11103.0,24.5843665768,41.110458221,48.903278947,371,58.7666666667,taxi
118,Taxi,45,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,taxi
121,Taxi,40,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,taxi
123,Taxi,60,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,taxi
128,Taxi,45,10003.0,42.803859969,56.1840193965,66.8341558769,12064,70.3833333333,taxi
131,Taxi,40,10003.0,42.803859969,56.1840193965,66.8341558769,12064,70.3833333333,taxi
132,Taxi,30,10003.0,42.803859969,56.1840193965,66.8341558769,12064,70.3833333333,taxi
133,Taxi,23,11105.0,25.5992822967,40.6608133971,48.3684003006,209,73.2166666667,taxi
138,Taxi,60,10029.0,33.8378619692,57.5347393822,68.4409157891,2072,73.0833333333,taxi
142,Taxi,45,10036.0,46.9126850162,57.1994374916,68.0420547061,22453,65.05,taxi
144,Taxi,45,10036.0,46.9126850162,57.1994374916,68.0420547061,22453,65.05,taxi
147,Taxi,45,10035.0,29.3475862068,57.7106206897,68.6501368246,145,96.0,taxi
151,Taxi,45,10027.0,39.8760295475,57.5798725762,68.4946043459,1805,74.75,taxi
153,Taxi,30,10027.0,39.8760295475,57.5798725762,68.4946043459,1805,74.75,taxi
154,Taxi,30,10027.0,39.8760295475,57.5798725762,68.4946043459,1805,74.75,taxi
160,Taxi,30,10027.0,39.8760295475,57.5798725762,68.4946043459,1805,74.75,taxi
164,Taxi,75,10026.0,37.2806983718,57.7373136247,68.6818896219,778,77.3833333333,taxi
171,Taxi,65,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,taxi
174,Taxi,38,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,taxi
175,Taxi,35,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,taxi
176,Taxi,30,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,taxi
178,Taxi,35,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,taxi
180,Taxi,45,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,taxi
181,Taxi,30,11218.0,38.8239700375,53.8960674157,64.1125040448,89,77.0833333333,taxi
187,Taxi,30,11218.0,38.8239700375,53.8960674157,64.1125040448,89,77.0833333333,taxi
189,Taxi,75,10005.0,45.6354267637,54.323279483,64.6206976238,2476,70.65,taxi
190,Taxi,30,10005.0,45.6354267637,54.323279483,64.6206976238,2476,70.65,taxi
203,Taxi,30,10013.0,47.2605788882,53.4796735132,63.6171793015,6524,72.1833333333,taxi
205,Taxi,45,11221.0,28.1725071225,37.414017094,44.5061474295,117,60.3,taxi
209,Taxi,35,11355.0,23.0123655913,31.6019354839,37.5923386192,31,50.5333333333,taxi
212,Taxi,20,11355.0,23.0123655913,31.6019354839,37.5923386192,31,50.5333333333,taxi
217,Taxi,30,11367.0,20.3724637682,46.1417391304,54.8882799522,92,54.2333333333,taxi
219,Taxi,60,10452.0,31.075,58.7466666667,69.8825737179,12,87.9,taxi
224,Taxi,45,10456.0,38.81,61.364,72.9960438089,5,99.7666666667,taxi
228,Taxi,60,10002.0,39.7790153822,53.1804193019,63.2611990278,4269,72.5833333333,taxi
229,Taxi,65,10002.0,39.7790153822,53.1804193019,63.2611990278,4269,72.5833333333,taxi
230,Taxi,60,10451.0,32.3890625,57.2728125,68.1293385423,32,83.8333333333,taxi
231,Taxi,35,10451.0,32.3890625,57.2728125,68.1293385423,32,83.8333333333,taxi
235,Taxi,10,11236.0,16.5888888889,27.75,33.0102375285,6,71.2833333333,taxi
245,Taxi,35,10021.0,39.7414430037,56.8677804584,67.6475293927,6632,68.6166666667,taxi
248,Taxi,75,11209.0,36.6416666667,57.9164285714,68.8949572592,14,78.7,taxi
251,Taxi,45,11209.0,36.6416666667,57.9164285714,68.8949572592,14,78.7,taxi
254,Taxi,35,10028.0,36.8330210007,57.4013349991,68.2822235233,5603,69.7666666667,taxi
255,Taxi,75,10028.0,36.8330210007,57.4013349991,68.2822235233,5603,69.7666666667,taxi
257,Taxi,30,11232.0,42.8333333333,57.3679166667,68.242470475,24,67.8833333333,taxi
259,Taxi,35,11232.0,42.8333333333,57.3679166667,68.242470475,24,67.8833333333,taxi
261,Taxi,20,11373.0,25.5583333333,44.4564,52.8834711229,250,43.8666666667,taxi
268,Taxi,40,10009.0,40.1282754358,55.33725605,65.8268816715,5124,78.9,taxi
272,Taxi,20,11230.0,34.4666666667,48.5775555556,57.785825133,45,78.9833333333,taxi
274,Taxi,25,11377.0,28.3826923077,42.598021978,50.672822477,364,40.2166666667,taxi
278,Taxi,100,10280.0,45.8783134808,54.7658423142,65.1471518285,1763,76.1666666667,taxi
285,Taxi,60,10031.0,39.6539215687,57.692832244,68.6289764348,459,83.6166666667,taxi
287,Taxi,30,10031.0,39.6539215687,57.692832244,68.6289764348,459,83.6166666667,taxi
292,Taxi,20,11207.0,19.2156862745,32.9802941176,39.2319763093,34,42.4333333333,taxi
296,Taxi,40,11215.0,39.0902679275,50.4811111111,60.0502150803,423,76.7166666667,taxi
301,Taxi,45,10467.0,32.7888888888,65.4966666667,77.9120909546,3,93.5833333333,taxi
303,Taxi,11,11101.0,32.8931184895,50.4398476563,60.001129803,2560,53.9666666667,taxi
306,Taxi,30,11101.0,32.8931184895,50.4398476563,60.001129803,2560,53.9666666667,taxi
307,Taxi,60,11101.0,32.8931184895,50.4398476563,60.001129803,2560,53.9666666667,taxi
309,Taxi,60,10069.0,49.1459884202,56.604751861,67.3346415918,806,78.6,taxi
310,Taxi,70,11211.0,34.8809833972,46.3346590038,55.117769352,1305,70.4166666667,taxi
321,Taxi,30,11220.0,38.7351851852,61.2211111111,72.8260691724,18,70.8166666667,taxi
324,Taxi,30,11104.0,29.1472822528,43.2182907662,51.4106682439,509,55.2166666667,taxi
325,Taxi,30,11104.0,29.1472822528,43.2182907662,51.4106682439,509,55.2166666667,taxi
329,Taxi,35,11434.0,7.9100490196,12.3014705882,14.6333140925,68,51.4833333333,taxi
331,Taxi,35,11434.0,7.9100490196,12.3014705882,14.6333140925,68,51.4833333333,taxi
336,Taxi,30,10461.0,29.2277777778,53.4966666667,63.637393645,9,97.6666666667,taxi
340,Taxi,30,10010.0,41.982557931,57.38734167,68.2655776452,7437,66.6833333333,taxi
341,Taxi,60,10010.0,41.982557931,57.38734167,68.2655776452,7437,66.6833333333,taxi
343,Taxi,70,10010.0,41.982557931,57.38734167,68.2655776452,7437,66.6833333333,taxi
344,Taxi,30,11357.0,24.25,43.75,52.0431672746,2,82.9,taxi
350,Taxi,30,11222.0,31.6650827933,45.3635637149,53.9625950763,463,64.2166666667,taxi
353,Taxi,10,11208.0,14.4387096774,28.3493548387,33.7232049371,31,42.6666666667,taxi
357,Taxi,45,10034.0,37.2470238095,57.83,68.7921454512,28,89.0166666667,taxi
358,Taxi,30,10037.0,31.2566978193,57.5496261682,68.4586244861,107,82.7333333333,taxi
370,Taxi,12,11375.0,18.2989006157,37.4094722955,44.5007411276,379,40.5666666667,taxi
373,Taxi,45,11106.0,27.483625731,43.0388995215,51.1972719341,627,59.9833333333,taxi
374,Taxi,50,11106.0,27.483625731,43.0388995215,51.1972719341,627,59.9833333333,taxi
376,Taxi,25,11235.0,28.79375,43.29125,51.4974574921,8,90.65,taxi
377,Taxi,25,11233.0,22.04453125,30.90625,36.7647803104,64,53.0833333333,taxi
380,Taxi,70,10025.0,42.6054248827,57.5689830986,68.4816506796,7100,76.6,taxi
381,Taxi,35,10025.0,42.6054248827,57.5689830986,68.4816506796,7100,76.6,taxi
386,Taxi,45,10118.0,39.1166666667,57.3763829787,68.2525416451,47,63.85,taxi
389,Taxi,45,10457.0,37.3444444445,59.8033333333,71.1395401199,6,88.0,taxi
405,Taxi,45,11223.0,34.4916666667,46.5,55.3144520747,6,95.3833333333,taxi
406,Taxi,25,11219.0,42.13125,60.75,72.2656551299,8,73.55,taxi
