zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration
83,-73.9715343566,40.7747223375,18.5732057682,2669.38186356,56.120036051,66.7580439694,3606,4449
10001,-73.9919932535,40.7483617127,17.2389829963,2782.83698313,57.3999832539,68.2806155438,15526,3001
10002,-73.9894287203,40.7194184369,17.4005996721,2386.74092293,53.1804193019,63.2611990278,4269,4355
10003,-73.9886764337,40.7322025813,17.5242722149,2568.23159814,56.1840193965,66.8341558769,12064,4223
10005,-74.0081537666,40.7056639939,19.8175242326,2738.12560582,54.323279483,64.6206976238,2476,4239
10006,-74.0132898085,40.7088432127,20.9256149194,2945.05947581,54.4985483871,64.8291901699,992,4267
10007,-74.0091858903,40.7136478711,19.7191506647,2829.96713442,53.772422452,63.9654211756,2708,3827
10009,-73.9817456717,40.7273533298,17.6087802498,2407.69652615,55.33725605,65.8268816715,5124,4734
10010,-73.9848440947,40.7397544826,17.0280623907,2518.95347586,57.38734167,68.2655776452,7437,4001
10011,-73.9993319468,40.7406242596,18.0158922981,2849.46730477,57.0172886662,67.8253780938,11179,3650
10012,-73.9977119338,40.7253370676,17.8919068088,2720.09955296,53.7220306052,63.9054771456,5816,4351
10013,-74.0045642092,40.7211588947,18.6724156959,2835.63473329,53.4796735132,63.6171793015,6524,4331
10014,-74.0053098331,40.7352756124,18.8675126977,2980.68974024,55.7357147003,66.3008713902,6891,4340
10016,-73.9794628435,40.7461372229,16.3764381746,2274.43140504,57.4974872183,68.3966021754,21124,4010
10017,-73.9739673863,40.7527810465,16.7993933814,2411.27185867,57.3144911669,68.1789177386,20095,3734
10018,-73.9892556569,40.7537816557,17.1320911893,2699.72887962,57.4326386875,68.3194610796,11032,3280
10019,-73.9817692717,40.7636713847,17.90852555,2872.74136503,56.0678149397,66.695923923,33816,3485
10020,-73.9789332917,40.7587997543,17.4257581574,2892.21305182,56.6307485605,67.3655661764,521,3627
10021,-73.958354579,40.7699295063,18.9969586852,2384.48658022,56.8677804584,67.6475293927,6632,4117
