,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
4193,WJA6921,DAL2276,1465641900.0,1465651620.0,KMCO,KLGA,MD88,,16.0,0.0,133.0
4194,ACA712,,1465661700.0,1465667220.0,CYYZ,KLGA,A319,Business: Snack or brunch / Economy: No meal,0.0,14.0,106.0
4195,WJA7360,DAL525,1465661820.0,1465671600.0,KMCO,KLGA,MD88,,16.0,0.0,133.0
4196,ETD3168,AAL186,1465663800.0,1465671600.0,KORD,KLGA,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
4197,UAL1777,,1465689060.0,1465702200.0,KIAH,KLGA,A320,First: Dinner / Economy: Food for sale,12.0,0.0,138.0
4198,WJA6874,GJS6288,1465647300.0,1465656300.0,KSTL,KLGA,CRJ7,,9.0,0.0,56.0
4199,WJA7365,DAL1058,1465679460.0,1465689840.0,KMCO,KLGA,MD88,,16.0,0.0,133.0
4200,SWA5085,,1465661700.0,1465670100.0,KSTL,KLGA,B737,,0.0,0.0,143.0
4201,DAL5944,TCF5944,1465666200.0,1465674300.0,KORD,KLGA,E170,First: Lunch / Economy: Lunch,12.0,0.0,64.0
4202,WJA6575,DAL986,1465645500.0,1465653480.0,KATL,KLGA,MD90,,16.0,0.0,144.0
4203,ACA722,,1465683000.0,1465688700.0,CYYZ,KLGA,A320,Business: Snack or brunch / Economy: No meal,0.0,14.0,132.0
4204,JBU1272,,1465668000.0,1465678740.0,KFLL,KLGA,A320,,0.0,0.0,150.0
4205,WJA6798,FLG3738,1465644480.0,1465649700.0,KPWM,KLGA,CRJ9,,0.0,12.0,64.0
4206,WJA6560,DAL1526,1465647840.0,1465657620.0,KMCO,KLGA,A320,,12.0,0.0,138.0
4207,ACA718,,1465675800.0,1465681500.0,CYYZ,KLGA,A320,Business: Snack or brunch / Economy: No meal,0.0,14.0,132.0
4208,UAL692,,1465687080.0,1465695540.0,KORD,KLGA,A320,First: Dinner / Economy: Food for sale,12.0,0.0,138.0
4209,QTR5138,AAL352,1465685100.0,1465693080.0,KORD,KLGA,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
