,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
3596,AOG404,,1465419600.0,1465432800.0,MMUN,KJFK,,Economy: Meal,0.0,0.0,210.0
3597,JBU752,,1465417200.0,1465431000.0,MMUN,KJFK,A321,,0.0,0.0,190.0
3598,KLM7745,FLG3639,1465380000.0,1465384740.0,KSYR,KJFK,CRJ9,,0.0,12.0,64.0
3599,JBU852,,1465401900.0,1465415520.0,MMUN,KJFK,A320,,0.0,0.0,150.0
3600,DAL4261,GJS4261,1465402800.0,1465409700.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3601,IBE4531,ENY4432,1465404600.0,1465410780.0,KCLE,KJFK,E170,,12.0,0.0,64.0
3602,VIR4868,DAL42,1465412400.0,1465421340.0,KATL,KJFK,MD88,First: Refreshments / Economy: No meal,16.0,0.0,133.0
3603,GFA4251,RPA4432,1465404600.0,1465410780.0,KCLE,KJFK,E170,First: Food for sale / Economy: Food for sale,12.0,0.0,64.0
3604,DAL4026,FLG4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3605,BAW5140,RPA4432,1465404600.0,1465410780.0,KCLE,KJFK,E170,,12.0,0.0,64.0
3606,QTR5341,RPA4432,1465404600.0,1465410780.0,KCLE,KJFK,E170,,12.0,0.0,64.0
3607,KLM6527,DAL1947,1465415460.0,1465432200.0,KSLC,KJFK,B738,First: Food for sale / Economy: Food for sale,16.0,0.0,144.0
3608,DAL3836,FLG3836,1465389660.0,1465395900.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3609,ETD3203,RPA4432,1465404600.0,1465410780.0,KCLE,KJFK,E170,,12.0,0.0,64.0
3610,DAL2029,,1465429800.0,1465437000.0,KDTW,KJFK,,,12.0,0.0,98.0
3611,AMX5360,FLG3779,1465379400.0,1465385400.0,KCLE,KJFK,CRJ9,,0.0,12.0,64.0
3612,AFR8945,GJS4261,1465402800.0,1465409700.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3613,VIR4860,DAL2350,1465387500.0,1465395420.0,KATL,KJFK,B738,First: Breakfast / Economy: No meal,16.0,0.0,144.0
3614,VIR3120,GJS4261,1465402800.0,1465409700.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3615,KLM5653,GJS4261,1465402800.0,1465409700.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3616,VIR4750,DAL997,1465396440.0,1465404600.0,KATL,KJFK,B738,First: Lunch / Economy: No meal,16.0,0.0,144.0
3617,AFR3325,FLG4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3618,CES8802,FLG3779,1465379400.0,1465385400.0,KCLE,KJFK,CRJ9,,0.0,12.0,64.0
3619,VIR4824,FLG4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3620,AZA3139,FLG3779,1465379400.0,1465385400.0,KCLE,KJFK,CRJ9,,0.0,12.0,64.0
3621,VIR4664,FLG3836,1465389660.0,1465395900.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3622,VIR4738,FLG3779,1465379400.0,1465385400.0,KCLE,KJFK,CRJ9,,0.0,12.0,64.0
3623,AZA3404,FLG4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3624,AZA5972,FLG3836,1465389660.0,1465395900.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3625,AMX5359,CRL3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3626,AMX5373,CRL3391,1465419540.0,1465426200.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3627,WJA6423,TCF3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3628,KLM6717,TCF3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
