terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
A,10467,3.0,12.585,1863.5,0.0,2
A,10468,1.0,11.8275,1787.0,0.0,4
A,10469,2.0,11.7885714286,1547.28571429,0.0,7
A,10470,2.0,13.04,1843.0,0.0,1
A,10471,2.05882352941,14.2335294118,2448.70588235,0.0,17
A,10472,1.0,7.99,1038.0,0.0,1
A,10474,1.0,7.4,1306.0,0.0,1
A,10475,1.0,12.0275,1402.5,0.0,4
A,11001,4.0,14.01,2259.0,0.0,1
A,11005,2.5,13.4,1437.5,0.0,2
A,11101,1.69938650307,5.5817791411,1353.26380368,0.0,163
A,11102,1.5303030303,2.68212121212,715.727272727,0.0,66
A,11103,1.22222222222,2.48462962963,750.166666667,0.0,54
A,11104,1.2380952381,4.17571428571,1058.38095238,0.0,21
A,11105,1.56944444444,1.95583333333,540.791666667,0.0,72
A,11106,1.6724137931,3.26810344828,895.172413793,0.0,58
A,11109,1.90909090909,6.31181818182,1261.09090909,0.0,11
A,11201,1.52140077821,10.0196108949,2086.42023346,0.0,257
A,11203,1.0,13.3233333333,3738.33333333,0.0,3
A,11204,2.5,17.55,4650.5,0.0,2
A,11205,1.36585365854,8.47341463415,1907.07317073,0.0,41
A,11206,1.44827586207,7.14551724138,1690.06896552,0.0,29
A,11207,1.25,10.665,2072.625,0.0,8
A,11208,5.0,13.93,2564.0,0.0,1
A,11209,1.36842105263,16.5863157895,2933.05263158,0.0,19
A,11210,2.33333333333,16.4966666667,2549.33333333,0.0,3
A,11211,1.59223300971,6.77145631068,1449.83495146,0.0,103
A,11212,1.5,13.875,2049.0,0.0,2
A,11213,2.09090909091,11.4736363636,2464.72727273,0.0,11
A,11214,1.33333333333,20.0133333333,2472.0,0.0,3
A,11215,1.87288135593,11.6815254237,3239.68644068,0.0,118
A,11216,1.44117647059,9.61558823529,2183.94117647,0.0,34
A,11217,1.47422680412,10.2335051546,2304.08247423,0.0,97
A,11218,1.45,13.9645,2783.9,0.0,20
A,11219,2.0,15.19,4170.5,0.0,2
A,11220,1.5,15.33,2243.83333333,0.0,6
A,11221,1.16666666667,9.07777777778,2242.66666667,0.0,18
A,11222,1.51851851852,6.37234567901,1377.28395062,0.0,81
A,11223,2.75,19.9025,3452.25,0.0,4
A,11224,1.5,23.95,3087.0,0.0,2
A,11225,2.23529411765,10.5647058824,2385.47058824,0.0,17
A,11226,1.1,14.493,2571.0,0.0,10
A,11228,2.75,16.6275,3352.25,0.0,4
A,11229,1.2,19.72,3402.2,0.0,5
A,11230,2.42857142857,17.1642857143,3996.42857143,0.0,7
A,11232,3.11111111111,13.8333333333,2815.22222222,0.0,9
A,11233,2.33333333333,10.0,2398.66666667,0.0,3
A,11234,1.33333333333,18.9066666667,2958.33333333,0.0,3
A,11235,1.0,23.24,3499.5,0.0,2
A,11237,1.89473684211,8.15578947368,1962.15789474,0.0,19
A,11238,1.87356321839,9.48068965517,2179.75862069,0.0,87
A,11249,1.70930232558,7.32511627907,1622.73255814,0.0,86
A,11354,1.58333333333,4.68833333333,1023.72222222,0.0,36
A,11355,1.0,5.7125,1240.91666667,0.0,12
A,11356,1.66666666667,6.79,1375.22222222,0.0,9
A,11357,2.0625,6.8675,1051.625,0.0,16
A,11358,1.8,7.176,1281.6,0.0,5
A,11360,1.71428571429,8.66428571429,1427.28571429,0.0,7
A,11361,2.09090909091,9.24636363636,1547.63636364,0.0,11
A,11362,2.25,12.71625,1502.375,0.0,8
A,11363,2.6,12.232,1520.2,0.0,5
A,11364,1.66666666667,10.1933333333,1513.83333333,0.0,6
A,11365,1.58333333333,8.15583333333,1418.0,0.0,12
A,11366,4.0,7.895,1273.0,0.0,2
A,11367,1.5,6.46071428571,1088.78571429,0.0,14
A,11368,1.82222222222,4.35866666667,2664.4,0.0,45
A,11369,1.93333333333,1.49626666667,433.573333333,0.0,75
A,11371,1.55927835052,2.54481958763,520.015463918,0.0,388
A,11372,1.43181818182,2.45136363636,809.909090909,0.0,44
A,11373,1.61111111111,3.58388888889,1080.61111111,0.0,18
A,11374,1.375,5.6425,1156.6875,0.0,16
A,11375,1.6582278481,6.30303797468,1205.06329114,0.0,79
A,11377,1.72222222222,3.18388888889,801.240740741,0.0,54
A,11378,1.0,5.545,1091.2,0.0,10
A,11379,1.25,7.225,1743.75,0.0,8
A,11385,2.3,7.8745,1618.95,0.0,20
A,11411,3.0,12.19,1325.0,0.0,1
A,11412,1.0,11.238,2120.2,0.0,5
A,11413,1.0,12.75,1356.5,0.0,2
A,11414,1.0,14.2,1788.0,0.0,1
A,11415,1.71428571429,6.90571428571,1407.28571429,0.0,7
A,11417,4.0,9.66,2165.0,0.0,1
A,11418,2.0,8.065,1494.75,0.0,4
A,11420,1.2,11.066,1679.8,0.0,5
A,11422,1.5,14.7,1804.5,0.0,2
A,11423,1.0,9.425,1252.5,0.0,2
A,11426,2.5,13.18,1559.5,0.0,2
A,11427,1.83333333333,11.6333333333,2040.16666667,0.0,6
A,11428,3.5,12.075,2208.5,0.0,2
A,11430,1.625,12.7015625,2009.2890625,0.0,128
A,11432,1.625,8.56375,1424.375,0.0,8
A,11433,3.66666666667,10.5966666667,1703.0,0.0,3
A,11434,2.0,12.0066666667,2228.5,0.0,6
A,11435,1.69230769231,8.87230769231,1353.69230769,0.0,13
A,11436,1.5,10.135,1707.5,0.0,2
A,11691,1.5,17.4,2295.0,0.0,2
A,,1.45088161209,13.5046599496,2409.02267003,0.0,397
B,83,1.81135707411,9.74761308951,2285.23484119,0.0,1039
B,10001,1.82749562172,9.75889842382,2402.09141856,0.0,5710
B,10002,1.75382870108,10.2530516166,1932.60408395,0.0,1763
B,10003,1.70235980716,10.0371453946,2020.96980462,0.0,3941
B,10005,1.70639032815,13.45291019,2200.92055268,0.0,1158
B,10006,1.74107142857,14.1363950893,2328.06808036,0.0,896
B,10007,1.76017699115,13.2436371681,2486.26814159,0.0,1130
B,10009,1.68787061995,10.0816873315,1804.97142857,0.0,1855
